epoch,recon_mse,lr
823,0.003684,6.39e-06
824,0.003675,6.39e-06
825,0.003677,6.38e-06
826,0.003671,6.37e-06
827,0.003670,6.36e-06
828,0.003686,6.36e-06
829,0.003689,6.35e-06
830,0.003670,6.34e-06
831,0.003668,6.33e-06
832,0.003663,6.33e-06
833,0.003683,6.32e-06
834,0.003666,6.31e-06
835,0.003671,6.30e-06
836,0.003673,6.30e-06
837,0.003665,6.29e-06
838,0.003664,6.28e-06
839,0.003660,6.27e-06
840,0.003679,6.27e-06
841,0.003677,6.26e-06
842,0.003657,6.25e-06
843,0.003654,6.24e-06
844,0.003654,6.24e-06
845,0.003655,6.23e-06
846,0.003652,6.22e-06
847,0.003665,6.21e-06
848,0.003655,6.20e-06
849,0.003646,6.20e-06
850,0.003664,6.19e-06
851,0.003653,6.18e-06
852,0.003647,6.17e-06
853,0.003639,6.17e-06
854,0.003631,6.16e-06
855,0.003639,6.15e-06
856,0.003641,6.14e-06
857,0.003658,6.14e-06
858,0.003641,6.13e-06
859,0.003638,6.12e-06
860,0.003630,6.11e-06
861,0.003621,6.10e-06
862,0.003623,6.10e-06
863,0.003622,6.09e-06
864,0.003622,6.08e-06
865,0.003627,6.07e-06
866,0.003626,6.07e-06
867,0.003622,6.06e-06
868,0.003615,6.05e-06
869,0.003636,6.04e-06
870,0.003628,6.04e-06
871,0.003611,6.03e-06
872,0.003603,6.02e-06
873,0.003614,6.01e-06
874,0.003645,6.00e-06
875,0.003625,6.00e-06
876,0.003614,5.99e-06
877,0.003596,5.98e-06
878,0.003606,5.97e-06
879,0.003598,5.97e-06
880,0.003624,5.96e-06
881,0.003619,5.95e-06
882,0.003598,5.94e-06
883,0.003583,5.94e-06
884,0.003577,5.93e-06
885,0.003564,5.92e-06
886,0.003579,5.91e-06
887,0.003576,5.90e-06
888,0.003580,5.90e-06
889,0.003579,5.89e-06
890,0.003578,5.88e-06
891,0.003580,5.87e-06
892,0.003574,5.87e-06
893,0.003564,5.86e-06
894,0.003557,5.85e-06
895,0.003560,5.84e-06
896,0.003553,5.83e-06
897,0.003547,5.83e-06
898,0.003551,5.82e-06
899,0.003553,5.81e-06
900,0.003575,5.80e-06
901,0.003568,5.80e-06
902,0.003571,5.79e-06
903,0.003578,5.78e-06
904,0.003566,5.77e-06
905,0.003560,5.76e-06
906,0.003558,5.76e-06
907,0.003551,5.75e-06
908,0.003558,5.74e-06
909,0.003547,5.73e-06
910,0.003543,5.73e-06
911,0.003544,5.72e-06
912,0.003540,5.71e-06
913,0.003543,5.70e-06
914,0.003533,5.69e-06
915,0.003530,5.69e-06
916,0.003535,5.68e-06
917,0.003534,5.67e-06
918,0.003549,5.66e-06
919,0.003546,5.66e-06
920,0.003542,5.65e-06
921,0.003540,5.64e-06
922,0.003536,5.63e-06
923,0.003525,5.62e-06
924,0.003545,5.62e-06
925,0.003529,5.61e-06
926,0.003533,5.60e-06
927,0.003526,5.59e-06
928,0.003513,5.59e-06
929,0.003539,5.58e-06
930,0.003518,5.57e-06
931,0.003518,5.56e-06
932,0.003521,5.55e-06
933,0.003551,5.55e-06
934,0.003524,5.54e-06
935,0.003517,5.53e-06
936,0.003506,5.52e-06
937,0.003500,5.51e-06
938,0.003496,5.51e-06
939,0.003482,5.50e-06
940,0.003494,5.49e-06
941,0.003481,5.48e-06
942,0.003489,5.48e-06
943,0.003488,5.47e-06
944,0.003491,5.46e-06
945,0.003487,5.45e-06
946,0.003476,5.44e-06
947,0.003477,5.44e-06
948,0.003478,5.43e-06
949,0.003481,5.42e-06
950,0.003480,5.41e-06
951,0.003471,5.41e-06
952,0.003491,5.40e-06
953,0.003481,5.39e-06
954,0.003481,5.38e-06
955,0.003479,5.37e-06
956,0.003481,5.37e-06
957,0.003496,5.36e-06
958,0.003517,5.35e-06
959,0.003512,5.34e-06
960,0.003524,5.33e-06
961,0.003506,5.33e-06
962,0.003482,5.32e-06
963,0.003461,5.31e-06
964,0.003447,5.30e-06
965,0.003443,5.30e-06
966,0.003437,5.29e-06
967,0.003429,5.28e-06
968,0.003436,5.27e-06
969,0.003436,5.26e-06
970,0.003444,5.26e-06
971,0.003447,5.25e-06
972,0.003454,5.24e-06
973,0.003447,5.23e-06
974,0.003450,5.22e-06
975,0.003450,5.22e-06
976,0.003449,5.21e-06
977,0.003445,5.20e-06
978,0.003439,5.19e-06
979,0.003453,5.18e-06
980,0.003440,5.18e-06
981,0.003435,5.17e-06
982,0.003436,5.16e-06
983,0.003432,5.15e-06
984,0.003428,5.15e-06
985,0.003420,5.14e-06
986,0.003440,5.13e-06
987,0.003430,5.12e-06
988,0.003446,5.11e-06
989,0.003433,5.11e-06
990,0.003422,5.10e-06
991,0.003406,5.09e-06
992,0.003406,5.08e-06
993,0.003416,5.07e-06
994,0.003407,5.07e-06
